File Path,Operators,Operands
hosted/cirq\01-deutsch-jozsa.py,"{'def': 3, 'cirq': 12, '.': 18, 'LineQubit': 4, 'for': 5, 'in': 5, 'range': 2, 'Circuit': 3, 'append': 6, 'X': 1, 'H': 2, 'measure': 1, 'return': 3, 'CNOT': 1, 'print': 2, '(': 29, '=': 8, '[': 3, '+': 1, '*': 1}","{'deutsch_jozsa': 3, 'n': 12, 'oracle': 5, 'qubits': 6, 'i': 4, 'aux_qubit': 5, 'circuit': 7, 'q': 6, 'key': 1, 'result': 1, 'constant_oracle': 2, 'balanced_oracle': 2}"
hosted/cirq\02-bernstein-vazirani.py,"{'def': 1, 'cirq': 8, '.': 10, 'LineQubit': 1, 'for': 2, 'in': 2, 'range': 1, 'Circuit': 1, 'X': 1, 'H': 2, 'on_each': 2, 'Moment': 1, 'enumerate': 1, 'if': 1, 'CX': 1, 'measure': 1, 'return': 1, 'print': 1, '(': 14, '=': 14, '[': 7, '+': 7, '-': 4, '*': 3}","{'bernstein_vazirani_cirq': 2, 'n': 4, 's': 4, 'qubits': 7, 'i': 4, 'circuit': 10, 'bit': 2, 'reversed': 1, 'key': 1, 'result': 1}"
hosted/cirq\03-simon.py,"{'def': 3, 'cirq': 6, '.': 13, 'LineQubit': 1, 'for': 2, 'in': 2, 'range': 1, 'enumerate': 1, 'if': 1, 'append': 5, 'CX': 1, 'return': 3, 'Circuit': 1, 'H': 2, 'on_each': 2, 'measure': 1, 'print': 1, '(': 21, '=': 12, '[': 8, '*': 4, '+': 1}","{'simon_oracle_cirq': 2, 'n': 13, 's': 8, 'qubits': 9, 'i': 5, 'oracle': 5, 'bit': 2, 'reversed': 1, 'simon_algorithm_cirq': 2, 'circuit': 10, 'key': 1, 'result': 1, 'solve_simon_cirq': 2, 'shots': 1}"
hosted/cirq\04-grover.py,"{'def': 4, 'cirq': 18, '.': 42, 'Circuit': 3, 'for': 3, 'in': 3, 'enumerate': 2, 'if': 2, 'append': 16, 'X': 4, 'H': 7, 'TOFFOLI': 2, 'return': 4, 'on_each': 5, 'LineQubit': 1, 'range': 2, '_': 1, 'measure': 1, 'int': 1, 'np': 2, 'pi': 1, 'sqrt': 1, 'print': 1, '(': 48, '=': 17, '[': 12, '-': 4, '*': 9, '/': 1}","{'grover_oracle': 2, 'qubits': 24, 'marked_state': 9, 'oracle': 9, 'i': 4, 'bit': 4, 'grover_diffusion': 2, 'diffusion': 11, 'grover_algorithm': 2, 'n': 7, 'iterations': 4, 'circuit': 10, 'key': 1, 'result': 1, 'run_grover': 2}"
hosted/cirq\06-qft.py,"{'def': 1, 'cirq': 5, '.': 10, 'LineQubit': 1, 'for': 4, 'in': 4, 'range': 4, 'Circuit': 1, 'append': 3, 'H': 1, 'np': 2, 'pi': 2, 'return': 1, 'print': 1, '(': 17, '=': 6, '[': 6, '+': 1, '/': 4, '*': 2, '-': 3}","{'qft_circuit': 2, 'n': 8, 'qubits': 6, 'i': 10, 'circuit': 5, 'j': 3, 'angle': 2, 'CZPowGate': 1, 'exponent': 1, 'SWAP': 1, 'qc': 2}"
hosted/cirq\07-qpe.py,"{'def': 1, 'cirq': 7, '.': 11, 'LineQubit': 2, 'for': 3, 'in': 3, 'range': 3, 'Circuit': 1, 'append': 3, 'H': 1, 'on_each': 1, 'return': 1, 'if': 1, 'print': 1, '(': 18, '=': 7, '[': 4, '+': 1, '*': 6, '/': 1}","{'qpe_circuit': 2, 'n_count': 6, 'n_target': 4, 'ancillas': 4, 'i': 7, 'target': 2, 'circuit': 5, 'Z': 1, 'controlled_by': 1, 'inverse': 1, 'qft': 1, '__name__': 1, '__main__': 1}"
hosted/quapl\01-deutsch-jozsa.aplf,{'{': 1},{'QFT': 1}
hosted/quapl\02-bernstein-vazirani.aplf,"{'⍵': 4, '[': 1, ']': 1, '⊂': 2, '.': 2, 'q1': 1, '⍳': 2, '⍴': 5, '-': 3, '.quapl': 4, '.gates': 2, '.H': 1, '⍺': 6, '⍸': 2, ',': 1, '=': 1, '⊃': 1, '.CNOT': 1, '.circuit': 2, '.stage': 1, '↓': 1, '.reg': 1, '{': 4, '(': 23}","{'BV': 2, 'reg': 3, 'sng': 1, 'vs': 6, 'circuit': 1, 'thread_reg': 1, 'stg_ctrl': 3, 'stage': 2, 'oracleBV': 2, 'targets': 2, 'ops': 2, 'applyCNOT': 2, 'new_res': 2, 'reg5': 2}"
hosted/quapl\03-simon.aplf,"{'⍸': 2, '⊃': 5, '⍺': 7, '-': 3, ',': 1, '⍴': 3, '⍵': 7, '÷': 2, '+': 1, '=': 1, '⊂': 1, '.quapl': 9, '.gates': 3, '.CNOT': 1, '.circuit': 5, '.stage': 3, '↓': 2, '⍳': 1, '↑': 2, '.H': 2, '.': 3, '.reg': 1, '.lib': 1, '.oracles': 1, '{': 5, '(': 26}","{'SIMON': 2, 'oracle': 2, 'ops': 2, 'applyCNOT': 2, 'new_res': 2, '_SIMON_': 2, 'qubits_index': 5, 'mid_state': 4, 'vs': 2, 'thread_reg': 1}"
hosted/quapl\04-grover.aplf,"{'⊃': 25, '↑': 1, '⍺': 10, '⍳': 4, '⍴': 4, '⍵': 30, '-': 11, '=': 4, '.quapl': 15, '.gates': 9, '.X': 3, '⋄': 1, '.I': 2, '.circuit': 4, '.stage': 2, '.': 9, 'gCTR': 2, '.Z': 1, '+': 2, '×': 3, '↓': 4, '.H': 1, '⌊': 1, '÷': 1, '*': 2, ',': 2, '⊂': 2, '.reg': 1, '.lib': 2, '.oracles': 1, '{': 13, '(': 82}","{'GROVER': 2, 'phase': 2, 'iter': 2, 'x': 4, 'qubits_index': 5, 'apply': 3, 'vs': 4, 'res': 5, 'cz': 2, '_GROVER_': 2, 'X': 3, 'H': 6, 'I': 3, 'stage': 8, 'n_qubits': 6, 'num_iter': 2, 'stg_ctrl': 2, 'mid_state': 18, 'grover_iter': 3, 'cx': 2, 'thread_reg': 1}"
