File Path,Operators,Operands
hosted/cirq\01-deutch-jotza.py,"{'def': 3, '(': 25, 'cirq': 12, '.': 18, 'LineQubit': 4, 'for': 5, 'in': 5, 'range': 2, 'Circuit': 4, 'append': 6, 'X': 1, 'H': 2, 'measure': 1, 'return': 3, 'CNOT': 1, 'print': 3, '=': 8, '+': 1, '*': 1, '-': 1}","{'deutsch_jozsa': 3, 'n': 12, 'oracle': 5, 'qubits': 6, 'i': 4, 'aux_qubit': 5, 'circuit': 7, 'q': 6, 'key': 1, 'result': 1, 'constant_oracle': 2, 'balanced_oracle': 2, 'Deutsch': 1, 'Jozsa': 1}"
hosted/cirq\02-vazirani.py,"{'def': 1, '(': 9, 'cirq': 8, '.': 10, 'LineQubit': 1, 'for': 2, 'in': 2, 'range': 1, 'Circuit': 1, 'X': 1, 'H': 2, 'on_each': 2, 'Moment': 1, 'enumerate': 1, 'if': 1, 'CX': 1, '[': 1, 'measure': 1, 'return': 1, 'print': 1, '=': 14, '+': 7, '-': 4, '*': 3}","{'bernstein_vazirani_cirq': 2, 'n': 4, 's': 4, 'qubits': 7, 'i': 4, 'circuit': 10, 'bit': 2, 'reversed': 1, 'key': 1, 'result': 1}"
hosted/cirq\03-simon.py,"{'def': 3, '(': 17, 'cirq': 6, '.': 13, 'LineQubit': 1, 'for': 2, 'in': 2, 'range': 1, 'enumerate': 1, 'if': 1, 'append': 5, 'CX': 1, '[': 2, 'return': 3, 'Circuit': 1, 'H': 2, 'on_each': 2, 'measure': 1, 'print': 1, '=': 12, '*': 4, '+': 1}","{'simon_oracle_cirq': 2, 'n': 13, 's': 8, 'qubits': 9, 'i': 5, 'oracle': 5, 'bit': 2, 'reversed': 1, 'simon_algorithm_cirq': 2, 'circuit': 10, 'key': 1, 'result': 1, 'solve_simon_cirq': 2, 'shots': 1}"
hosted/cirq\04-grover.py,"{'def': 4, '(': 39, 'cirq': 18, '.': 42, 'Circuit': 3, 'for': 3, 'in': 3, 'enumerate': 2, 'if': 2, 'append': 16, 'X': 4, '[': 8, 'H': 7, 'TOFFOLI': 2, 'return': 4, 'on_each': 5, 'LineQubit': 1, 'range': 2, '_': 1, 'measure': 1, 'int': 1, 'np': 2, 'pi': 1, 'sqrt': 1, 'print': 1, '=': 17, '-': 4, '*': 9, '/': 1}","{'grover_oracle': 2, 'qubits': 24, 'marked_state': 9, 'oracle': 9, 'i': 4, 'bit': 4, 'grover_diffusion': 2, 'diffusion': 11, 'grover_algorithm': 2, 'n': 7, 'iterations': 4, 'circuit': 10, 'key': 1, 'result': 1, 'run_grover': 2}"
hosted/qapl\01-deutch-jotza.aplf,"{'⍵': 7, '_': 19, '⍴': 3, '-': 2, '↑': 1, '⍺': 11, '↓': 1, '⊃': 1, '⊂': 3, '.quapl': 7, '.gates': 5, '.CNOT': 2, '.circuit': 2, '.stage': 2, '=': 1, '⍳': 3, '.X': 1, '.H': 1, '.SWAP': 1, '⋄': 1, '≠': 1, 'in': 5, 'or': 2}","{'DJ': 2, 'zero': 1, 'XOR': 1, 'n': 5, 'qubits': 5, 'apply': 2, 'x': 2, 'a': 3, 'ret': 3, 'X': 2, 'H': 2, 'CNOT': 1, 'SWAP': 2, 'stage': 5, 'prep': 3, 'mid': 5, 'state': 9, 'i': 3, 'stg': 3, 'ctrl': 3, 'acle': 2, 'f': 2, 'al': 2}"
hosted/qapl\02-vazirani.aplf,"{'⊃': 3, '.quapl': 8, '.circuit': 3, '.stage': 1, '/': 1, '⍸': 1, '⍺': 2, ',': 4, '⊂': 3, '⍵': 5, '.gates': 1, '.CNOT': 1, '_': 4, '↑': 1, '⍨': 3, '∘': 4, '-': 3, '⍣': 1, '⍳': 2, '*': 1, '⍴': 1, '⋄': 1, '⍪': 2, '.sng': 3, '.': 9, 'q0': 1, 'q1': 2, '[': 3, '+': 1, ']': 3, 'or': 2, '.lib': 1, '.oracles': 1, '≡': 1, 'unthread_vs': 1, '≠': 1, '×': 1}","{'BV': 3, 'test': 1, 'value': 1, 'secrets': 5, 'state': 2, 'n': 2, 'vect': 2, 's': 2, 'thread': 1, 'reg': 1, 'results': 3}"
hosted/qapl\03-simon.aplf,"{'or': 2, '⍸': 2, '⊃': 5, '⍺': 7, '-': 3, ',': 1, '⍴': 3, '⍵': 7, '÷': 2, '+': 1, '=': 1, '_': 16, '⊂': 1, '.quapl': 9, '.gates': 3, '.CNOT': 1, '.circuit': 5, '.stage': 3, '↓': 2, 'in': 5, '⍳': 1, '↑': 2, '.H': 2, '.': 3, '.reg': 1, '.lib': 1, '.oracles': 1}","{'SIMON': 4, 'acle': 2, 'ops': 2, 'applyCNOT': 2, 'new': 2, 'res': 2, 'qubits': 5, 'dex': 5, 'mid': 4, 'state': 4, 'vs': 2, 'thread': 1, 'reg': 1}"
hosted/qapl\04-grover.aplf,"{'⊃': 25, '↑': 1, '⍺': 10, '_': 41, 'in': 5, '⍳': 4, '⍴': 4, '⍵': 30, '-': 11, '=': 4, '.quapl': 15, '.gates': 9, '.X': 3, '⋄': 1, '.I': 2, '.circuit': 4, '.stage': 2, '.': 9, 'gCTR': 2, '.Z': 1, '+': 2, '×': 3, '↓': 4, '.H': 1, '⌊': 1, '÷': 1, '*': 2, ',': 2, '⊂': 2, '.reg': 1, '.lib': 2, '.oracles': 1}","{'GROVER': 4, 'phase': 2, 'iter': 7, 'x': 4, 'qubits': 11, 'dex': 5, 'apply': 3, 'vs': 4, 'res': 5, 'cz': 2, 'X': 3, 'H': 6, 'I': 3, 'stage': 8, 'n': 6, 'num': 2, 'stg': 2, 'ctrl': 2, 'mid': 18, 'state': 18, 'grover': 3, 'cx': 2, 'thread': 1, 'reg': 1}"
hosted/qiskit\01-deutch-jotza.py,"{'transpile': 1, 'def': 3, 'QuantumCircuit': 3, 'x': 1, 'h': 2, 'range': 6, 'append': 1, 'measure': 1, 'return': 3, 'to_gate': 2, 'for': 1, 'in': 1, 'cx': 1, 'print': 2, 'draw': 2, '=': 8, '+': 5}","{'deutsch_jozsa': 3, 'n': 20, 'oracle': 7, 'qc': 9, 'constant_oracle': 2, 'label': 2, 'Constant': 1, 'Oracle': 2, 'balanced_oracle': 2, 'i': 2, 'Balanced': 1, 'qc2': 2, 'text': 2}"
hosted/qiskit\02-vazirani.py,"{'def': 1, 'QuantumCircuit': 1, 'x': 1, 'h': 2, 'range': 4, 'for': 1, 'in': 1, 'enumerate': 1, 'if': 1, 'cx': 1, 'measure': 1, 'return': 1, 'print': 1, 'draw': 1, '=': 6, '+': 2}","{'bernstein_vazirani': 2, 'n': 11, 's': 4, 'qc': 9, 'i': 2, 'bit': 2, 'reversed': 1, 'text': 1}"
